Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Sh,SoT,Dist,FK,PK,PKatt,Season,Team,schedule
11/08/2023,20:00,Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,21572,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,17,8,13.9,0,0,0,2024,ManchesterCity,Occasional
12/08/2023,12:30,Premier League,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,0.8,1.2,78,59984,Martin Ødegaard,04/03/2003,Michael Oliver,Match Report,15,7,19.1,0,0,0,2024,Arsenal,Early
13/08/2023,16:30,Premier League,Matchweek 1,Sun,Away,D,1,1,Chelsea,1.3,1.4,35,40096,Virgil van Dijk,04/03/2003,Anthony Taylor,Match Report,13,1,17.8,0,0,0,2024,Liverpool,Late
12/08/2023,17:30,Premier League,Matchweek 1,Sat,Away,L,1,5,Newcastle Utd,1.8,3.3,48,52207,John McGinn,4-2-3-1,Andy Madley,Match Report,16,6,14.5,1,0,0,2024,AstonVilla,evening
13/08/2023,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Brentford,1.3,2.2,69,17066,Son Heung-min,4-2-3-1,Robert Jones,Match Report,18,6,19.6,0,0,0,2024,TottenhamHotspur,Early
13/08/2023,16:30,Premier League,Matchweek 1,Sun,Home,D,1,1,Liverpool,1.4,1.3,65,40096,Reece James,03/04/2003,Anthony Taylor,Match Report,10,4,13.2,1,0,0,2024,Chelsea,Late
12/08/2023,17:30,Premier League,Matchweek 1,Sat,Home,W,5,1,Aston Villa,3.3,1.8,52,52207,Kieran Trippier,04/03/2003,Andy Madley,Match Report,17,12,13.2,0,0,0,2024,NewcastleUnited,evening
14/08/2023,20:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,2.2,2.2,51,73358,Bruno Fernandes,4-1-4-1,Simon Hooper,Match Report,15,2,14.7,0,0,0,2024,ManchesterUnited,Occasional
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.1,1.3,38,11245,Kurt Zouma,4-2-3-1,Peter Bankes,Match Report,16,2,16.1,0,0,0,2024,WestHamUnited,regular
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Sheffield Utd,1.9,0.5,68,31194,Joel Ward,4-2-3-1,John Brooks,Match Report,24,8,18.5,1,0,0,2024,CrystalPalace,regular
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,W,4,1,Luton Town,4,1.5,70,31872,Lewis Dunk,4-2-3-1,David Coote,Match Report,26,11,17,0,1,1,2024,BrightonandHoveAlbion,regular
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,D,1,1,West Ham,1.3,1.1,62,11245,Neto,4-2-3-1,Peter Bankes,Match Report,14,5,20.7,1,0,0,2024,Bournemouth,regular
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58,39940,Tom Cairney,04/03/2003,Stuart Attwell,Match Report,9,2,13.2,0,0,0,2024,Fulham,regular
14/08/2023,20:00,Premier League,Matchweek 1,Mon,Away,L,0,1,Manchester Utd,2.2,2.2,49,73358,Max Kilman,04/04/2002,Simon Hooper,Match Report,23,6,15.3,0,0,0,2024,WolverhamptonWanderers,Occasional
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,2.7,1.5,42,39940,James Tarkowski,4-4-1-1,Stuart Attwell,Match Report,19,9,15.8,0,0,0,2024,Everton,regular
13/08/2023,14:00,Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,2.2,1.3,31,17066,Christian Nørgaard,05/03/2002,Robert Jones,Match Report,10,5,18,0,1,1,2024,Brentford,Early
12/08/2023,12:30,Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,1.2,0.8,22,59984,Joe Worrall,03/04/2003,Michael Oliver,Match Report,6,2,17.3,0,0,0,2024,NottinghamForest,Early
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1.5,4,30,31872,Tom Lockyer,03/05/2002,David Coote,Match Report,8,2,16.6,0,1,1,2024,LutonTown,regular
11/08/2023,20:00,Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0.3,1.9,35,21572,Josh Cullen,05/04/2001,Craig Pawson,Match Report,6,1,14.9,0,0,0,2024,Burnley,Occasional
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Crystal Palace,0.5,1.9,32,31194,John Egan,03/04/2003,John Brooks,Match Report,8,1,19.4,0,0,0,2024,SheffieldUnited,regular
29/10/2023,15:30,Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,4,0.9,60,73502,Kyle Walker,4-2-3-1,Paul Tierney,Match Report,20,9,17.2,2,1,1,2024,ManchesterCity,Late
28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,5,0,Sheffield Utd,2.8,0,67,60153,Bukayo Saka,04/03/2003,Tim Robinson,Match Report,12,6,17,0,1,1,2024,Arsenal,regular
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,W,3,0,Nott'ham Forest,3.2,0.4,72,50143,Virgil van Dijk,04/03/2003,Chris Kavanagh,Match Report,21,8,19.5,2,0,0,2024,Liverpool,Early
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,W,3,1,Luton Town,2.3,0.5,70,41785,John McGinn,04/04/2002,John Brooks,Match Report,17,6,14.5,0,0,0,2024,AstonVilla,Early
27/10/2023,20:00,Premier League,Matchweek 10,Fri,Away,W,2,1,Crystal Palace,1.1,0.6,75,25074,Son Heung-min,4-2-3-1,Andy Madley,Match Report,10,1,19.5,1,0,0,2024,TottenhamHotspur,Occasional
28/10/2023,12:30,Premier League,Matchweek 10,Sat,Home,L,0,2,Brentford,1.9,2.2,68,39575,Conor Gallagher,4-2-3-1,Simon Hooper,Match Report,17,2,16.1,1,0,0,2024,Chelsea,Early
28/10/2023,17:30,Premier League,Matchweek 10,Sat,Away,D,2,2,Wolves,2.2,0.9,57,31584,Jamaal Lascelles,04/03/2003,Anthony Taylor,Match Report,12,3,14.2,0,1,1,2024,NewcastleUnited,evening
29/10/2023,15:30,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0.9,4,40,73502,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,7,3,15.2,0,0,0,2024,ManchesterUnited,Late
29/10/2023,13:00,Premier League,Matchweek 10,Sun,Home,L,0,1,Everton,0.7,0.8,64,62469,Kurt Zouma,4-2-3-1,Stuart Attwell,Match Report,12,2,17.3,0,0,0,2024,WestHamUnited,Early
27/10/2023,20:00,Premier League,Matchweek 10,Fri,Home,L,1,2,Tottenham,0.6,1.1,25,25074,Joel Ward,4-2-3-1,Andy Madley,Match Report,13,3,17.2,0,0,0,2024,CrystalPalace,Occasional
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,D,1,1,Fulham,1.4,0.7,71,31550,Lewis Dunk,03/04/2003,Michael Salisbury,Match Report,18,6,18.1,1,0,0,2024,BrightonandHoveAlbion,Early
28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Burnley,1.1,0.8,45,11152,Lloyd Kelly,4-2-3-1,Samuel Barrott,Match Report,13,6,19.5,2,0,0,2024,Bournemouth,regular
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.7,1.4,29,31550,Tim Ream,4-2-3-1,Michael Salisbury,Match Report,10,5,19.3,0,0,0,2024,Fulham,Early
28/10/2023,17:30,Premier League,Matchweek 10,Sat,Home,D,2,2,Newcastle Utd,0.9,2.2,43,31584,Max Kilman,04/04/2002,Anthony Taylor,Match Report,11,6,17.2,1,0,0,2024,WolverhamptonWanderers,evening
